Gene_ID	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000006059.3	0	0	0	0	0	0	0	0	0	0
ENSG00000006071.7	2	1	4	0	245	291	271	204	269	278
ENSG00000006074.4	0	0	0	0	0	0	0	0	0	0
ENSG00000006075.11	0	0	0	0	0	1	0	0	0	0
ENSG00000006114.11	173	129	204	147	14177	19192	14553	10378	15507	13017
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.10	0	0	0	0	10	10	10	6	10	9
ENSG00000006125.12	192	104	156	120	39441	48593	38225	26842	41606	35538
ENSG00000006128.7	0	0	0	0	0	0	0	0	0	0
ENSG00000006194.6	50	53	74	75	11286	14464	10771	9628	13571	11129
ENSG00000006210.6	0	0	0	0	0	2	3	0	0	0
ENSG00000006282.14	0	0	0	0	131	197	108	114	158	135
ENSG00000006283.13	0	0	0	0	0	0	0	1	2	0
ENSG00000006327.9	0	0	0	0	6	6	6	6	13	3
ENSG00000006377.9	0	0	0	0	0	0	0	0	0	0
ENSG00000006432.11	24	9	17	15	3461	4372	3434	2686	4056	3736
ENSG00000006451.3	101	69	79	82	12837	15498	11763	9075	14190	11219
ENSG00000006453.9	0	4	3	2	56	87	67	42	60	57
ENSG00000006459.6	12	7	25	9	1730	2050	1701	1395	1965	1686
ENSG00000006468.9	0	1	0	1	70	70	70	48	61	35
ENSG00000006530.11	88	90	139	108	15517	19883	15113	11156	16801	13770
ENSG00000006555.6	0	0	0	0	0	0	0	0	0	0
ENSG00000006576.12	98	64	79	64	8934	11410	9018	6368	9343	7595
ENSG00000006606.4	0	0	0	0	0	0	0	0	0	0
ENSG00000006607.8	38	31	44	17	2294	3102	2453	1724	2485	2459
ENSG00000006611.10	0	0	0	0	37	57	22	30	27	23
ENSG00000006625.12	198	149	217	220	17698	21825	16684	13176	19075	15373
ENSG00000006634.3	82	69	57	72	18781	24158	18014	13204	20569	15818
ENSG00000006638.7	0	0	0	0	2	3	1	3	1	3
ENSG00000006652.9	100	64	99	79	10949	14896	10629	8140	12536	10394
ENSG00000006659.7	0	0	0	0	0	0	0	0	0	0
ENSG00000006695.6	43	24	30	19	4379	5498	4255	3660	5032	4265
ENSG00000006704.6	1	2	0	0	244	410	359	208	229	306
ENSG00000006712.9	161	113	168	141	13788	17723	12959	9898	13992	11947
ENSG00000006715.11	115	99	136	119	10734	13573	10577	7680	11960	9658
ENSG00000006740.11	1	0	0	0	193	219	167	127	185	141
