geneIDs	disperRaw	disperRawConverge	disperFitted	disperAdj	disperAdjConverge	pval	padj	TEctl	TEtrt	log2FoldChangeTE	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000163964.9	0.00861539269414	Y	0.00130571879801	0.00138183130559	Y	0.039285926905	0.159865747283	0.0118015791778	0.014002304229	0.24668433705	147.0	158.0	224.0	139.0	12738.0	13177.0	12911.0	12833.0	13285.0	12741.0
ENSG00000112977.11	0.000245159183447	Y	0.00151841087182	0.000871224996492	Y	0.0393125012733	0.15990646149	0.00582339219721	0.00449373792982	-0.373943795031	76.0	61.0	52.0	53.0	11875.0	11722.0	11660.0	12016.0	11449.0	11623.0
ENSG00000103381.7	6.64374795082e-06	Y	0.00146583496786	0.000800318958119	Y	0.0394053137641	0.160194327741	0.0195487494805	0.0150385043452	-0.378415231434	77.0	87.0	56.0	68.0	4260.0	4205.0	4113.0	4086.0	4087.0	4132.0
ENSG00000133313.10	0.000137311377485	Y	0.00124387735495	0.000687811326087	Y	0.0394138612362	0.160194327741	0.0104615940157	0.00920454585079	-0.18468424303	360.0	365.0	293.0	352.0	34799.0	34507.0	34616.0	34365.0	35581.0	35139.0
ENSG00000164080.7	0.0108511005054	Y	0.00147494159467	0.00349433103683	Y	0.0394919494405	0.16044944858	0.012370367624	0.00885394381928	-0.482496250844	64.0	96.0	71.0	47.0	6062.0	6313.0	7063.0	6153.0	6696.0	7137.0
ENSG00000059588.5	0.00195940711274	Y	0.00140014399016	0.00165389046275	Y	0.0395455783067	0.160605035744	0.0034736044318	0.00434785565159	0.323870572086	72.0	92.0	102.0	109.0	22444.0	24210.0	24381.0	25311.0	23182.0	24129.0
ENSG00000132356.7	0.000712919589872	Y	0.00131707905364	0.00102758523816	Y	0.0395910409689	0.160727350042	0.0100392905064	0.0119869881123	0.255811893068	135.0	147.0	178.0	151.0	13752.0	13974.0	14396.0	13901.0	14029.0	13220.0
ENSG00000175602.2	0.00628743226727	Y	0.00142905574313	0.00306405693688	Y	0.039734761607	0.161157935599	0.0129443990914	0.0174384497561	0.429943799478	81.0	54.0	102.0	94.0	4862.0	5692.0	5054.0	5587.0	5255.0	6008.0
ENSG00000197136.4	0.00274698788692	Y	0.00144784091682	0.00191929678671	Y	0.0397170442518	0.161157935599	0.00283466114424	0.00362200926006	0.353613949175	63.0	70.0	104.0	70.0	23155.0	24259.0	23098.0	25343.0	22436.0	24157.0
ENSG00000124784.4	0.000817126980169	Y	0.00129377214694	0.00106698347675	Y	0.0397432640494	0.161157935599	0.00826139830094	0.0100030290043	0.275979032871	185.0	150.0	200.0	207.0	21105.0	19870.0	19791.0	19920.0	20700.0	20399.0
